# energy/N    magnetization    seed 
-0.5028    -0.0296    1692387707.8207505 
-0.4624    0.0176    1692387707.8263252 
-0.5376    -0.0176    1692387707.8319902 
-0.5112    -0.0064    1692387707.8376403 
-0.4964    0.0152    1692387707.8432288 
-0.5252    0.0264    1692387707.8489017 
-0.4696    -0.0032    1692387707.8545613 
-0.4408    -0.0064    1692387707.860135 
-0.4836    0.0072    1692387707.8657918 
-0.4472    0.0192    1692387707.8714266 
-0.4308    -0.0104    1692387707.876985 
-0.5284    -0.0008    1692387707.8826559 
-0.466    -0.0024    1692387707.8883767 
-0.4628    0.0232    1692387707.8939826 
-0.5412    0.0216    1692387707.8996909 
-0.5152    0.0016    1692387707.9052873 
-0.4936    0.0128    1692387707.9108682 
-0.4752    0.0176    1692387707.916576 
-0.5336    0.0    1692387707.9222302 
-0.4652    -0.0008    1692387707.9278367 
-0.4964    -0.0072    1692387707.9335666 
-0.5144    -0.0384    1692387707.9391854 
-0.4852    0.004    1692387707.9447453 
-0.5204    0.036    1692387707.9504783 
-0.4608    -0.0048    1692387707.956181 
-0.5    0.0256    1692387707.9617314 
-0.462    0.0248    1692387707.967449 
-0.4996    -0.0024    1692387707.9730837 
-0.5092    0.0104    1692387707.9786592 
-0.4836    -0.0136    1692387707.9843724 
-0.512    0.0016    1692387707.9900248 
-0.516    0.0032    1692387707.9956398 
-0.5064    0.0224    1692387708.001348 
-0.4824    0.032    1692387708.0068834 
-0.4568    0.048    1692387708.0124483 
-0.5356    -0.0328    1692387708.018193 
-0.476    0.0064    1692387708.0237815 
-0.476    -0.0128    1692387708.029345 
-0.4676    -0.0088    1692387708.0350955 
-0.4916    0.004    1692387708.0406764 
-0.508    0.048    1692387708.0462334 
-0.5208    0.0224    1692387708.051994 
-0.5832    0.0416    1692387708.0575988 
-0.4724    -0.012    1692387708.063192 
-0.5212    -0.0168    1692387708.0693734 
-0.5624    -0.0352    1692387708.0749636 
-0.474    0.0424    1692387708.0805247 
-0.518    0.0232    1692387708.0862505 
-0.584    -0.024    1692387708.0917997 
-0.5112    -0.0064    1692387708.0973988 
-0.4936    -0.0448    1692387708.1031957 
-0.5308    0.036    1692387708.1087687 
-0.4732    -0.0296    1692387708.1143425 
-0.5332    0.0152    1692387708.120098 
-0.522    -0.012    1692387708.1256983 
-0.526    -0.0328    1692387708.1312985 
-0.4904    -0.0064    1692387708.1370153 
-0.4992    0.0016    1692387708.142605 
-0.4952    -0.0096    1692387708.148263 
-0.484    0.0064    1692387708.1539292 
-0.4472    -0.0448    1692387708.1594887 
-0.5216    0.0144    1692387708.1651454 
-0.4728    -0.0224    1692387708.1708171 
-0.4972    -0.0056    1692387708.176412 
-0.5108    -0.0072    1692387708.1820557 
-0.4544    -0.0304    1692387708.18776 
-0.4912    0.04    1692387708.1933448 
-0.5052    -0.0088    1692387708.1989534 
-0.5256    0.0128    1692387708.2046604 
-0.4744    0.0    1692387708.2102554 
-0.5028    0.0136    1692387708.2158756 
