# mcs  energy  magnetization 
613  -0.7988  -0.0026 
614  -0.8052  0.0114 
615  -0.8172  0.0246 
616  -0.8088  0.0154 
617  -0.82  -0.0288 
618  -0.8268  0.0074 
619  -0.7932  -0.0156 
620  -0.804  -0.0016 
621  -0.8084  -0.0234 
622  -0.792  -0.001 
623  -0.7936  0.0028 
624  -0.8296  -0.0342 
625  -0.8288  -0.0228 
626  -0.8328  -0.0126 
627  -0.8232  0.0148 
628  -0.8172  0.0274 
629  -0.8212  0.0448 
630  -0.8236  0.059 
631  -0.7936  0.035 
632  -0.7936  0.0088 
633  -0.7976  -0.0102 
634  -0.814  -0.0306 
635  -0.834  -0.0252 
636  -0.8312  -0.0086 
637  -0.8248  -0.0024 
638  -0.8024  -0.0086 
639  -0.816  0.002 
640  -0.8048  0.0444 
641  -0.8168  0.045 
642  -0.8456  0.0792 
643  -0.8552  0.0642 
644  -0.8172  0.061 
645  -0.826  0.0546 
646  -0.816  0.0356 
647  -0.83  0.0002 
648  -0.8204  0.0268 
649  -0.7876  0.0444 
650  -0.7884  0.0466 
651  -0.7684  0.0548 
652  -0.7972  0.0844 
653  -0.8316  0.0884 
654  -0.8244  0.0406 
655  -0.8248  0.0018 
656  -0.856  -0.0368 
657  -0.8152  -0.0418 
658  -0.8104  -0.056 
659  -0.7948  -0.0348 
660  -0.8032  0.0092 
661  -0.8064  -0.015 
662  -0.7944  -0.0218 
663  -0.8028  0.009 
664  -0.782  0.0282 
665  -0.8192  0.0162 
666  -0.8124  0.0034 
667  -0.8312  0.0148 
668  -0.84  0.0462 
669  -0.854  0.058 
670  -0.85  0.0278 
671  -0.8284  0.0058 
672  -0.8232  0.0072 
673  -0.816  -0.0012 
674  -0.8024  -0.0036 
675  -0.7856  0.0196 
676  -0.808  0.0028 
677  -0.8108  0.0168 
678  -0.8584  0.0544 
679  -0.828  0.013 
680  -0.7812  -0.0402 
681  -0.768  -0.0144 
682  -0.798  0.0036 
683  -0.8236  0.0392 
684  -0.8024  0.0268 
685  -0.7988  0.034 
686  -0.8212  0.0468 
687  -0.8212  0.0666 
688  -0.82  0.0708 
689  -0.8008  0.0586 
690  -0.7792  0.051 
691  -0.8048  0.0608 
692  -0.806  0.0362 
693  -0.8308  0.041 
694  -0.8356  0.0628 
695  -0.8528  0.0364 
696  -0.8456  0.0294 
697  -0.8528  0.021 
698  -0.8344  0.0384 
699  -0.8352  0.0052 
700  -0.8352  -0.0074 
701  -0.8432  0.0254 
702  -0.8364  0.042 
703  -0.8328  -0.0088 
704  -0.8316  -0.0274 
705  -0.832  0.0148 
706  -0.8412  0.031 
707  -0.834  0.0048 
708  -0.826  -0.0014 
709  -0.81  -0.0116 
710  -0.7868  0.0236 
711  -0.792  0.0334 
712  -0.784  -0.0012 
713  -0.7972  -0.008 
714  -0.7952  0.0052 
715  -0.8104  -0.0096 
716  -0.8276  0.0354 
717  -0.8364  0.0474 
718  -0.844  0.0534 
719  -0.824  0.0244 
720  -0.8456  -0.0016 
721  -0.8392  -0.0064 
722  -0.8584  -0.0328 
723  -0.844  -0.0462 
724  -0.8212  -0.0222 
725  -0.786  -0.0098 
726  -0.7984  0.0022 
727  -0.8356  -0.0192 
728  -0.8016  0.0152 
729  -0.7964  0.0386 
730  -0.8412  0.0446 
731  -0.8552  0.0188 
732  -0.8504  0.0482 
733  -0.8572  0.0504 
734  -0.8152  -0.018 
735  -0.8216  -0.033 
736  -0.8416  -0.0206 
737  -0.8124  -0.0182 
738  -0.8284  -0.0594 
739  -0.824  -0.0508 
740  -0.8424  -0.0338 
741  -0.8244  -0.0412 
742  -0.7876  -0.0194 
743  -0.8128  0.0116 
744  -0.772  0.0194 
745  -0.8268  0.007 
746  -0.836  0.0294 
747  -0.8332  0.0228 
748  -0.8376  0.0152 
749  -0.826  0.0418 
750  -0.8368  -0.0056 
751  -0.8436  -0.0216 
