# mcs  energy  magnetization 
514  -1.7608  -0.922 
515  -1.7628  -0.9222 
516  -1.7472  -0.9138 
517  -1.7384  -0.9108 
518  -1.7504  -0.9176 
519  -1.7596  -0.921 
520  -1.7696  -0.9212 
521  -1.7668  -0.9182 
522  -1.7428  -0.9014 
523  -1.746  -0.9044 
524  -1.7424  -0.903 
525  -1.7368  -0.8958 
526  -1.7204  -0.8848 
527  -1.7196  -0.8842 
528  -1.7464  -0.8952 
529  -1.728  -0.891 
530  -1.7124  -0.8868 
531  -1.71  -0.8948 
532  -1.7548  -0.914 
533  -1.7356  -0.9086 
534  -1.72  -0.8984 
535  -1.7288  -0.902 
536  -1.7492  -0.9118 
537  -1.752  -0.9142 
538  -1.7536  -0.9122 
539  -1.7372  -0.909 
540  -1.7456  -0.9132 
541  -1.74  -0.9096 
542  -1.752  -0.9146 
543  -1.716  -0.9052 
544  -1.7192  -0.901 
545  -1.7224  -0.9044 
546  -1.7244  -0.9026 
547  -1.7196  -0.898 
548  -1.7336  -0.9058 
549  -1.738  -0.9056 
550  -1.7556  -0.9152 
551  -1.746  -0.9066 
552  -1.7316  -0.901 
553  -1.7188  -0.8992 
554  -1.7484  -0.9132 
555  -1.7384  -0.902 
556  -1.7244  -0.8948 
557  -1.732  -0.8928 
558  -1.7512  -0.9066 
559  -1.768  -0.9172 
560  -1.768  -0.9196 
561  -1.764  -0.9152 
562  -1.7296  -0.9034 
563  -1.72  -0.8964 
564  -1.7396  -0.9038 
565  -1.7312  -0.902 
566  -1.752  -0.9102 
567  -1.7416  -0.9038 
568  -1.7316  -0.9048 
569  -1.7436  -0.9082 
570  -1.7564  -0.9094 
571  -1.7296  -0.8974 
572  -1.7464  -0.8994 
573  -1.734  -0.8946 
574  -1.736  -0.895 
575  -1.7544  -0.9062 
576  -1.7516  -0.9072 
577  -1.7476  -0.9066 
578  -1.7372  -0.9034 
579  -1.7352  -0.9104 
580  -1.7476  -0.909 
581  -1.7492  -0.9106 
582  -1.7408  -0.913 
583  -1.7364  -0.9092 
584  -1.7136  -0.8982 
585  -1.75  -0.9108 
586  -1.7392  -0.9152 
587  -1.748  -0.9146 
588  -1.7548  -0.9178 
589  -1.74  -0.9162 
590  -1.7496  -0.9172 
591  -1.7556  -0.9198 
592  -1.7528  -0.9198 
593  -1.7248  -0.9108 
594  -1.768  -0.924 
595  -1.762  -0.9164 
596  -1.7472  -0.9094 
597  -1.7508  -0.9128 
598  -1.7516  -0.92 
599  -1.77  -0.9228 
600  -1.7616  -0.9222 
601  -1.7564  -0.9212 
602  -1.7764  -0.9256 
603  -1.7772  -0.9258 
604  -1.7752  -0.9252 
605  -1.7308  -0.9066 
606  -1.7104  -0.8968 
607  -1.7464  -0.9132 
608  -1.7492  -0.9116 
609  -1.7716  -0.921 
610  -1.758  -0.9228 
611  -1.7712  -0.9204 
612  -1.7688  -0.9202 
613  -1.7356  -0.9092 
614  -1.71  -0.8998 
615  -1.7352  -0.9114 
616  -1.7324  -0.9052 
617  -1.744  -0.9072 
618  -1.7476  -0.9134 
619  -1.7504  -0.9158 
620  -1.7312  -0.9062 
621  -1.7364  -0.913 
622  -1.7332  -0.908 
623  -1.732  -0.9012 
624  -1.7528  -0.9144 
